Sequence No.,V,D,air density,I,S_b,y (% relative to rated power)
111,5.22,304.3,1.141205206,0.105363985,0.158726799,8.624242424
112,4.83,300.4,1.141093119,0.115942029,0.232497534,3.175757576
113,4.76,290.7,1.141181735,0.136554622,0.114916835,5.8
114,4.05,289.7,1.137915637,0.130864198,0.170948178,0.575757576
115,4.72,296.1,1.13748068,0.165254237,0.135838043,2.018181818
116,4.83,328.4,1.139265349,0.120082816,0.070076161,4.109090909
117,5.26,324.2,1.139582521,0.129277567,0.121503807,3.672727273
118,5.32,323.5,1.139087844,0.135338346,0.080780905,8.690909091
119,4.91,325.2,1.138607548,0.152749491,0.135226791,8.054545455
120,6.15,321.7,1.138328203,0.144715447,0.114884873,9.406060606
121,5.86,320.4,1.13917834,0.156996587,0.053711116,21.35151515
122,7.43,324,1.139807091,0.114401077,0.135595661,24.23636364
123,7.48,323.2,1.141514318,0.139037433,0.125215874,28.75151515
124,7.58,320.8,1.140887779,0.072559367,0.170479367,29.24848485
125,7.16,326.2,1.140217154,0.096368715,0.160795947,20.1030303
126,7.01,321.9,1.140387635,0.109843081,0.174626867,19.93939394
127,6.65,328.5,1.140936737,0.156390977,0.17001312,23.41212121
128,6.21,334.5,1.140779928,0.193236715,0.098737591,18.38181818
129,6.99,332.9,1.140779928,0.121602289,0.280771873,24.53939394
130,8.85,333.5,1.142593721,0.06440678,0.274839247,41.21212121
131,7.17,332.6,1.143824209,0.092050209,0.224755484,21.45454545
132,6.85,340.3,1.144116236,0.160583942,0.210733248,29.92727273
133,7.65,344.7,1.14532148,0.101960784,0.156362187,35.23030303
134,5.36,347.2,1.145701848,0.190298507,0.158880289,23.8969697
135,5.21,359.6,1.146256065,0.117082534,-0.029645074,13.23636364
136,5.4,358.5,1.146861397,0.07037037,0.016514798,9.993939394
137,5.09,354.1,1.147114398,0.117878193,0.093586222,9.16969697
138,4.75,0.59,1.146999396,0.124210526,0.037728806,7.684848485
139,4.78,350.1,1.146741062,0.179916318,0.080436715,7.612121212
140,3.83,351,1.146744004,0.117493473,-0.068526671,3.503030303
141,4.94,344.5,1.14664976,0.145748988,0.212155524,4.709090909
142,5.25,350.4,1.146447566,0.12,0.099506982,6.96969697
143,5.27,351,1.147052872,0.087286528,0.148136886,4.824242424
144,4.95,352.9,1.147095127,0.098989899,0.063728184,5.636363636
145,4.27,354.5,1.147377221,0.117096019,0.201326238,4.945454545
146,4.25,359.6,1.147345312,0.105882353,0.069004332,1.303030303
147,3.91,356,1.147667828,0.112531969,0.214548102,0.915151515
148,4.45,349.7,1.148212005,0.101123596,0.293041425,2.381818182
149,4.02,0.48,1.148658753,0.126865672,0.160364572,2.812121212
150,3.87,4,1.148911165,0.059431525,-0.034173444,1.866666667
151,3.99,5,1.148906394,0.052631579,0.044988476,1.975757576
152,4.22,6.91,1.149530995,0.049763033,0.192315478,1.048484848
153,4.31,10.27,1.149320782,0.055684455,0.073349167,2.193939394
154,4.53,5.06,1.149238107,0.092715232,0.024653195,7.448484848
155,5.16,4.71,1.148902876,0.063953488,0.169915288,10.83636364
156,5.24,7.95,1.149391647,0.036259542,0.284525447,9.757575758
157,4.8,11.57,1.149134271,0.035416667,0.113934208,6.418181818
158,4.98,12,1.149543998,0.030120482,0.077149555,5.690909091
159,5.26,12,1.150099323,0.034220532,0.15747593,7.03030303
160,4.82,13.05,1.15047167,0.043568465,0.07975706,3.406060606
161,5.07,16.95,1.150834853,0.047337278,0.211267767,4.315151515
162,5.16,51.52,1.151284637,0.029069767,0.379298877,4.054545455
163,4.74,57.3,1.1513093,0.035864979,0.305996051,0.545454545
164,4.18,257.7,1.152465485,0.035885167,0.350389382,-1.763636364
165,4.1,57.48,1.152999128,0.03902439,0.422382561,-1.260606061
166,4.34,57.59,1.15368553,0.048387097,0.608510151,-0.381818182
167,4.42,57.72,1.154423799,0.033936652,0.717432624,0.084848485
168,4.4,57.17,1.154864703,0.034090909,0.799480627,-0.696969697
169,4.53,61.65,1.155489999,0.039735099,0.751308417,0.266666667
170,4.29,65.76,1.156142927,0.048951049,0.408086913,-1.527272727
171,3.94,13.6,1.160182137,0.088832487,0.864285617,-0.254545455
172,3.57,12,1.160158323,0.078431373,0.872807583,-1.763636364
173,4.03,4.19,1.150358011,0.188585608,0.067145568,0.763636364
174,3.94,9.53,1.149329454,0.170050761,0.080363341,-0.733333333
175,4.13,343.3,1.148817574,0.11622276,0.093365811,0.036363636
176,4.15,4.76,1.145992654,0.151807229,0.087332332,0.327272727
177,4.24,356.6,1.145255931,0.195754717,-0.010452867,-0.696969697
178,3.93,344.8,1.142756206,0.193384224,-0.07775099,0.248484848
179,3.54,39.31,1.137973553,0.13559322,0.135838043,-0.454545455
180,3.66,133.1,1.143635802,0.18852459,-0.235849879,1.472727273
181,3.91,134.2,1.144061813,0.204603581,-0.312171724,1.587878788
182,4.6,136.1,1.144637054,0.132608696,0.03406115,0.23030303
183,4.58,140.7,1.144695618,0.065502183,0.140124023,1.036363636
184,4.34,135,1.144953369,0.108294931,-0.114701781,-0.006060606
185,4.51,135.1,1.14500695,0.186252772,-0.264357715,-0.43030303
186,4.65,134.2,1.145063899,0.15483871,-0.075143912,0.024242424
187,4.91,136,1.145291661,0.124236253,0.031895134,-0.096969697
188,5.29,135.8,1.14566535,0.094517958,0.038115464,3.793939394
189,5.22,139.2,1.146178497,0.067049808,0.117969141,2.084848485
190,5.05,139.1,1.146478966,0.069306931,0.15482048,4.193939394
191,5.08,140.9,1.146235625,0.070866142,0.177428923,6.6
192,5.47,145.7,1.14639152,0.058500914,0.078526077,6.351515152
193,5.11,147.5,1.146384701,0.062622309,0.04833728,7.466666667
194,5.89,154.9,1.146852938,0.030560272,0.108185628,9.915151515
195,5.99,156.8,1.147506511,0.045075125,0.029865728,9.8
196,5.61,155.8,1.146901851,0.033868093,0.072437834,6.951515152
197,5.63,156.4,1.146811398,0.026642984,0.055933209,7.418181818
198,5.53,156.2,1.147120532,0.048824593,0.020174799,6.448484848
199,5.54,154.3,1.14787407,0.025270758,0.040460683,6.751515152
200,4.94,153.8,1.147344197,0.056680162,0.045425511,2.606060606
201,3.96,149,1.147502345,0.078282828,0.016891565,3.393939394
202,4.62,148.8,1.148155495,0.088744589,0.149131838,5.187878788
203,4.53,149.2,1.147702699,0.070640177,0.11574145,5.945454545
204,4.84,149.6,1.148108493,0.107438017,0.142131422,4.6
205,4.33,149.2,1.148324353,0.076212471,0.10504227,3.6
206,5.24,152.8,1.14810236,0.049618321,0.274909717,5.303030303
207,5.39,157.7,1.148289092,0.083487941,-0.004117202,8.248484848
208,4.81,157.2,1.149110284,0.112266112,-0.207083088,10.74545455
209,4.94,158.6,1.150032884,0.119433198,-0.096781767,13.27878788
210,5.39,158.1,1.150303917,0.116883117,-0.012328783,16.01818182
211,6.77,156.8,1.150119018,0.050221566,0.066608591,20.84242424
212,5.93,158.1,1.150251021,0.175379427,-0.051831053,24.10909091
213,4.65,162.8,1.151119144,0.144086022,-0.125369137,20.60606061
214,5.48,165.3,1.150737951,0.109489051,-0.020174799,12.78181818
215,5.66,164.4,1.150197914,0.070671378,0.15437059,11.28484848
216,5.64,169.9,1.149935149,0.046099291,0.223552425,7.466666667
217,4.98,176.1,1.149902126,0.0562249,0.109712673,3.454545455
218,4.99,167.2,1.150479208,0.038076152,0.109487299,3.818181818
219,4.78,162.8,1.151722306,0.106694561,0.028058016,7.090909091
220,4.35,162.4,1.153885682,0.135632184,0.03603465,3.981818182
221,4.94,168.3,1.15405395,0.062753036,0.124847033,4.393939394
222,5.68,175.3,1.154183134,0.077464789,0.162205625,9.745454545
223,5.57,176.1,1.154841264,0.129263914,0.165531318,10.72727273
224,6.17,173.9,1.154825726,0.032414911,0.291980126,12.63030303
225,5.78,169.8,1.154048027,0.053633218,0.2348841,8.836363636
226,5.5,176,1.15327897,0.036363636,0.185209736,7.212121212
227,5.9,176.8,1.153408735,0.071186441,0.17215324,11.25454545
228,4.99,176.3,1.153437582,0.130260521,-0.05712677,7.557575758
229,4.3,177.1,1.153653563,0.162790698,-0.294665979,6.581818182
230,3.99,177.4,1.153243979,0.145363409,-0.478889085,7.066666667
231,4.72,176.3,1.152698673,0.165254237,-0.16763408,7.618181818
232,5.27,176.1,1.152905441,0.104364326,0.016923739,9.121212121
233,5.67,173.9,1.152095109,0.068783069,0.055533644,11.15757576
234,5.96,172.4,1.152250918,0.041946309,0.315854012,10.71515152
235,4.43,174.6,1.153092011,0.23476298,0.171951217,4.806060606
236,4.07,172.4,1.154408456,0.14987715,0.316181279,0.175757576
237,4.43,170.2,1.153649297,0.128668172,0.288738643,-0.921212121
238,3.78,136.4,1.138605127,0.177248677,0.164610856,0.460606061
239,4.43,142.4,1.139119617,0.130925508,0.050715218,1.8
240,5.32,141.1,1.139169,0.086466165,0.093808684,8.8
241,5.17,144.6,1.139234496,0.094777563,0.141923237,10.38181818
242,5.11,147.2,1.139126462,0.093933464,0.148286782,12.26666667
243,5.6,141.8,1.139283007,0.141071429,0.17317052,8.284848485
244,5.62,143.4,1.139108146,0.081850534,0.185381585,7.636363636
245,5.61,146.8,1.139210851,0.096256684,0.296038385,13.27878788
246,4.99,145.8,1.139242677,0.148296593,0.259398653,9.16969697
247,5.23,145.4,1.138565371,0.13957935,0.091028994,6.933333333
248,5.75,146.4,1.139007692,0.151304348,0.131283669,13.65454545
249,6.05,150.1,1.138858421,0.155371901,0.175652619,11.93939394
250,5.2,160.7,1.138131121,0.184615385,0.145634257,11.6
251,4.19,161.9,1.137861027,0.164677804,0.187977337,8.660606061
252,4.71,163.3,1.13837254,0.163481953,0.228273426,3.757575758
253,4.36,164.5,1.137767164,0.116972477,0.141996768,-0.575757576
254,5.08,161.7,1.13792853,0.104330709,0.254529247,5.448484848
255,5.1,165.4,1.13753986,0.096078431,0.205182396,1.521212121
256,4.92,163.9,1.13676322,0.158536585,0.193272286,7.448484848
257,5.59,168.3,1.136868518,0.119856887,0.164916537,10.31515152
258,5.07,170.1,1.136970777,0.112426036,0.130831053,7.109090909
259,4.93,171.3,1.137528933,0.133874239,0.163571359,14.21212121
260,4.54,174.9,1.137985177,0.149779736,0.069574415,13.95757576
261,5.65,168.7,1.137842352,0.111504425,0.29828946,10.89090909
262,5.92,170.2,1.137846205,0.087837838,0.237367632,15.01212121
263,6,168.9,1.138174669,0.04,0.225818364,13.90909091
264,6.25,163.3,1.138011569,0.0448,0.312398971,15.44242424
265,5.54,160.4,1.138714924,0.120938628,0.290883544,12.81818182
266,4.78,157.1,1.139075931,0.127615063,0.282047126,13.72727273
267,4.68,156,1.139416064,0.108974359,0.023858769,14.26060606
268,4.41,156.3,1.139600535,0.111111111,-0.069419089,15.07272727
269,4.73,155.1,1.14001413,0.11205074,-0.009372293,14.4969697
270,4.88,154.7,1.139690699,0.114754098,0.009122108,14.27272727
271,4.67,158.3,1.140388664,0.117773019,0.167906178,14.37575758
272,5.12,160.2,1.140449111,0.126953125,0.455881711,13.74545455
273,5.62,161.6,1.140243265,0.12455516,0.498619419,18.57575758
274,5.68,160.8,1.139843484,0.117957746,0.364675565,19.72121212
275,6.13,162.8,1.140350376,0.097879282,0.613787018,18.42424242
276,5.77,163.4,1.140525378,0.08492201,0.572018528,14.52727273
277,6,168.9,1.140275026,0.048333333,0.4005401,13.93939394
278,5.47,172.3,1.140403323,0.106032907,0.177454899,12.43636364
279,6.57,169.7,1.140526493,0.063926941,0.175821971,21.72727273
280,6.22,170.3,1.140845903,0.064308682,0.26922482,19.44848485
281,6.39,170.4,1.141281353,0.075117371,0.297100585,20.36969697
282,7.43,173.1,1.140542474,0.069986541,0.219792303,34.6969697
283,7.31,173.9,1.140657109,0.065663475,0.230319179,35.54545455
284,6.8,174.6,1.141265662,0.122058824,0.117375308,38.72121212
285,6.07,176.5,1.14135063,0.10708402,-0.127978243,39.47878788
286,4.9,180.8,1.141537474,0.130612245,-0.244431733,36.97575758
287,4.61,180.5,1.141539455,0.121475054,-0.228723496,33.87878788
288,4.76,177.4,1.141981915,0.105042017,-0.388585207,31.63636364
289,4.9,176.8,1.141723632,0.128571429,-0.386009348,33.38181818
290,5.02,179.6,1.141136014,0.097609562,-0.508008072,40.33939394
291,5.47,179.1,1.141516615,0.104204753,-0.42049004,47
292,6.09,177.2,1.14138167,0.119868637,-0.283801429,46.96969697
293,5.87,177.2,1.141809259,0.109028961,-0.375136939,46.66060606
294,6.42,176.1,1.141813792,0.127725857,-0.217360223,49.94545455
295,7.12,176,1.141643695,0.110955056,0.053678392,47.0969697
296,8.42,175.6,1.140706288,0.06888361,0.347686481,46.13939394
297,8.32,174.8,1.139690539,0.072115385,0.275347991,47.99393939
298,9.18,174.4,1.139835801,0.071895425,0.422468214,56.52727273
299,9.57,174,1.140457956,0.028213166,0.428779745,61.16969697
300,8.94,175.6,1.14001296,0.097315436,0.241219293,67.46666667
301,10.19,174,1.13897508,0.02747792,0.450342384,70.66666667
302,10.44,172.3,1.138858338,0.016283525,0.425497715,73.64848485
303,10.57,173.1,1.13823637,0.021759697,0.47369684,72.04242424
304,10.89,173.1,1.137612695,0.017447199,0.550373661,75.47272727
305,10.86,173.1,1.137392106,0.020257827,0.552099628,76.36363636
306,10.96,172,1.137526536,0.019160584,0.569838429,78.15757576
307,11.05,170.1,1.139104422,0.018099548,0.614353394,78.94545455
308,11.06,169.7,1.139175411,0.022603978,0.587395396,79.43030303
309,10.78,169.3,1.139748475,0.027829314,0.496683659,77.79393939
310,10.36,168.6,1.140920601,0.042471042,0.527505108,73.30909091
311,10.14,167.3,1.142506348,0.035502959,0.507183491,72.67272727
312,10.71,168.1,1.142627622,0.031746032,0.487372707,78.79393939
313,10.61,171.3,1.143409649,0.041470311,0.482086765,76.45454545
314,10.17,168.4,1.144244917,0.045231072,0.45400219,72.76363636
315,9.82,167.8,1.14520731,0.078411405,0.472028819,67.56969697
316,9.8,169.2,1.145042934,0.112244898,0.467500315,65.75757576
317,9.75,172,1.144357034,0.115897436,0.400881171,69.97575758
318,9.57,175.5,1.144201123,0.096133751,0.237385083,68.83030303
319,8.61,179.1,1.144464313,0.12195122,0.205265617,64.81818182
320,8.22,181.3,1.145031283,0.114355231,0.291206055,62.62424242
321,9.2,182.5,1.143651543,0.130434783,0.501697332,63.47878788
322,9.78,185.4,1.144231174,0.097137014,0.768376154,67.37575758
323,10.32,187.8,1.143776862,0.052325581,0.741793163,73.8
324,9.96,193.1,1.144487751,0.078313253,0.674980191,59.05454545
325,8.74,208.7,1.145604928,0.156750572,0.521857017,40.66060606
326,7.01,240.3,1.14682613,0.245363766,0.633733238,29.36969697
327,6.4,247.8,1.147728284,0.0859375,0.526231052,25.26060606
328,6.01,253.6,1.147262009,0.058236273,0.707821036,11
329,5.26,260,1.146114927,0.102661597,0.624976246,4.63030303
330,4.41,266.3,1.145735946,0.142857143,0.664335937,1.593939394
331,4.15,93.5,1.144578507,0.089156627,0.195706511,-0.175757576
332,3.82,106.3,1.143944922,0.214659686,0,1.6
333,5.07,135.7,1.142088379,0.1617357,0.089397581,10.47272727
334,6.69,139.2,1.140838596,0.13303438,0.168956936,17.12121212
335,8.03,143.6,1.140513855,0.110834371,0.175489327,40.32121212
336,7.57,148.5,1.13869666,0.104359313,0.142377034,36.61212121
337,8.16,146.7,1.137690254,0.096813725,0.117375308,34.1030303
338,8.76,146.9,1.135839918,0.081050228,0.198811516,44.23636364
339,8.02,148.9,1.134558283,0.109725686,0.116559603,43.18787879
340,8.37,151.9,1.133358271,0.133811231,0.103205289,48.5030303
341,7.97,150.9,1.131905694,0.139272271,0.16482525,42.51515152
342,8.21,149.1,1.131254513,0.110840438,0.102430001,34.04848485
343,6.81,157.2,1.129848072,0.117474302,0.134457385,33.0969697
344,6.67,159.8,1.128661315,0.130434783,0.180292309,28.78787879
345,6.11,155.8,1.128672864,0.165302782,0.173858405,26.33939394
346,6.54,163.8,1.127766747,0.114678899,0.172986939,18.93333333
347,6.4,154.4,1.127686563,0.153125,0.08850693,28.15757576
348,6.15,158.8,1.126968504,0.143089431,0.161002033,19.28484848
349,6.51,161.8,1.125916062,0.202764977,0.271882961,22.05454545
350,5.72,163.4,1.125332091,0.155594406,0.177793269,17.22424242
351,5.8,163.4,1.124885885,0.151724138,0.18354527,13.94545455
352,5.77,169.6,1.123605738,0.105719237,0.134901847,14.45454545
353,5.68,169.4,1.122985879,0.147887324,0.230556559,16.67878788
354,5.1,171.9,1.121982504,0.164705882,0.15324904,13.63030303
355,5.28,168.1,1.12174408,0.121212121,0.244337295,14.37575758
356,4.53,162.2,1.121429366,0.205298013,0.02961684,15.67878788
357,5.76,173,1.120922326,0.126736111,0.18068738,13.52727273
358,5.33,169.7,1.12070984,0.178236398,0.119864227,13.12727273
359,5.18,166.7,1.120409736,0.146718147,0.206566081,7.084848485
360,5.33,164.2,1.119995192,0.196998124,0.168782181,13.97575758
361,5.72,171.6,1.119070408,0.108391608,0.285536506,16.43636364
362,5.3,170.5,1.119063816,0.128301887,0.169775008,7.878787879
363,4.93,168,1.118861785,0.121703854,0.227531461,3.521212121
364,4.78,190,1.117041456,0.211297071,0.109536215,2.854545455
365,5.13,170.5,1.11681709,0.144249513,0.156963473,6.824242424
366,5.1,168.2,1.116542341,0.147058824,0.116227682,5.066666667
367,4.21,177.1,1.115645296,0.275534442,0.108110391,-0.060606061
368,5.32,191.9,1.11539844,0.133458647,0.205451783,1.575757576
369,5.14,221.2,1.114014688,0.13618677,0.213002653,6.654545455
370,4.97,214,1.113959887,0.142857143,0.205903364,12.60606061
371,4.87,213,1.114261031,0.112936345,0.155856883,2.745454545
372,4.29,202.3,1.113980454,0.114219114,0.2519362,2.642424242
373,4.47,210.6,1.111938146,0.161073826,0.314422346,1.763636364
374,4.61,215.3,1.112736439,0.097613883,0.293164974,4.133333333
375,3.79,215.9,1.111449393,0.129287599,0.382818122,-0.278787879
376,4.08,223.1,1.111292695,0.176470588,0.372550831,-0.103030303
377,4.06,225.5,1.11182641,0.145320197,0.368083371,0.103030303
378,4.41,222.5,1.112219486,0.133786848,0.377944564,4.939393939
379,4.45,219.6,1.112981606,0.098876404,0.160391265,0.96969697
380,3.78,217.9,1.113548869,0.097883598,0.222308387,-0.781818182
381,3.96,217.6,1.113747223,0.073232323,0.293401016,0.945454545
382,3.77,218.7,1.114075794,0.092838196,0.06577474,1.866666667
383,4.1,222.4,1.114144311,0.102439024,0.252162536,3.557575758
384,3.67,219.9,1.114514191,0.081743869,0.852732287,-0.139393939
385,3.67,210.9,1.115733155,0.070844687,0.53072996,-0.212121212
386,4.05,203.9,1.115543207,0.066666667,0.434793739,4.939393939
387,5.21,203.8,1.115362427,0.078694818,0.559445611,9.484848485
388,5.31,206.1,1.114770079,0.064030132,0.478983442,7.218181818
389,5.18,206.3,1.114982666,0.030888031,0.362505891,6.363636364
390,5,210.4,1.114802076,0.066,0.424611462,4.23030303
391,4.79,209.2,1.115577259,0.048016701,0.286689197,5.16969697
392,5.33,207.9,1.116344309,0.04315197,0.265272701,9.163636364
393,5.47,210.9,1.117073292,0.171846435,0.443480954,14.03030303
394,4.49,216,1.121045749,0.138084633,0.643960645,8.56969697
395,4.54,235.7,1.122567006,0.077092511,0.331828755,4.254545455
396,4.65,241,1.121937215,0.070967742,0.477811863,4.084848485
397,5.28,236.4,1.120777577,0.045454545,0.384876356,3.612121212
398,5.54,237.1,1.120763595,0.034296029,0.337064626,8.242424242
399,5.28,244.6,1.120936905,0.045454545,0.230293644,8
400,5.59,248,1.121121762,0.032200358,0.288105412,7.896969697
401,4.88,246,1.120930417,0.049180328,-0.036118358,7.084848485
402,4.66,244.9,1.120979897,0.040772532,-0.134100387,5.896969697
403,5.28,242.5,1.121701973,0.043560606,0.165905656,7.460606061
404,5.72,241.3,1.122561921,0.125874126,0.211705837,22.6969697
405,7.21,239.9,1.123096851,0.033287101,0.581231544,29.47272727
406,7.08,236.7,1.122912576,0.043785311,0.435302554,27.99393939
407,6.69,233.5,1.124364887,0.056801196,0.488195194,23.41818182
408,6.61,237.3,1.124633391,0.055975794,0.432705818,19.43636364
409,6.1,242,1.123187991,0.047540984,0.312264855,16.35757576
410,6.32,241.8,1.120873996,0.025316456,0.459053018,13.92727273
411,6.56,243.6,1.119951379,0.022865854,0.371373396,15.16363636
412,6.54,244,1.119983376,0.019877676,0.266723635,17.36969697
